Ticker,symbol,company_name,sector,sub_industry,daily_mean,daily_vol,annual_return_est,annual_vol_est,min_daily_return,max_daily_return
SNDK,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",0.01330553499725455,0.06267134133101751,3.352994819308147,0.9948767009562963,-0.2130161544360215,0.28649384891801044
GEV,GEV,GE Vernova,Industrials,Heavy Electrical Equipment,0.004596144122519424,0.03349764090795589,1.158228318874895,0.531758564098771,-0.21520117537067351,0.1562449572097715
CVNA,CVNA,Carvana,Consumer Discretionary,Automotive Retail,0.003447629809030752,0.06568553604240326,0.8688027118757495,1.042725558613013,-0.42921014874334573,0.5602060501517252
PLTR,PLTR,Palantir Technologies,Information Technology,Application Software,0.00288894708851707,0.044085099594079274,0.7280146663063017,0.6998292602966898,-0.21308012675418742,0.30801445797701255
NVDA,NVDA,Nvidia,Information Technology,Semiconductors,0.00272908606841385,0.03210450194351851,0.6877296892402902,0.5096431686488387,-0.1845209080211172,0.2436962024556799
APP,APP,AppLovin,Information Technology,Application Software,0.0026990202493209123,0.04891157551013026,0.6801531028288699,0.7764471901929713,-0.20120866825169537,0.4626519983128876
SMCI,SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",0.002684164372045159,0.047090705198837526,0.6764094217553801,0.7475417701126832,-0.33322507060101236,0.3593629514175434
VRT,VRT,Vertiv,Industrials,Electrical Components & Equipment,0.002553314184703631,0.035321874603379357,0.643435174545315,0.5607173762469,-0.3673990340150036,0.29249910925339817
FIX,FIX,Comfort Systems USA,Industrials,Construction & Engineering,0.002475791569892091,0.028807936420773866,0.623899475612807,0.457311813325967,-0.2571301777746845,0.22370878550498308
CEG,CEG,Constellation Energy,Utilities,Electric Utilities,0.002386637060633957,0.031138165043484517,0.6014325392797572,0.4943030459276686,-0.20849640564306693,0.2515995430624107
TSLA,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,0.0023803160454889207,0.0399293429690821,0.5998396434632081,0.63385866906238,-0.21062824320390794,0.22689989839624536
