Ticker,symbol,company_name,sector,missing_ratio_after_clean,days_abs_return_gt_30pct
CMI,CMI,Cummins,Industrials,0.0,0
CMS,CMS,CMS Energy,Utilities,0.0,0
CNC,CNC,Centene Corporation,Health Care,0.0,1
CNP,CNP,CenterPoint Energy,Utilities,0.0,0
COF,COF,Capital One,Financials,0.0,0
COHR,COHR,Coherent Corp.,Information Technology,0.0,0
COIN,COIN,Coinbase,Financials,0.3116178067318133,1
COO,COO,Cooper Companies (The),Health Care,0.0,0
COP,COP,ConocoPhillips,Energy,0.0,0
COR,COR,Cencora,Health Care,0.0,0
COST,COST,Costco,Consumer Staples,0.0,0
CPAY,CPAY,Corpay,Financials,0.0,0
CPB,CPB,Campbell's Company (The),Consumer Staples,0.0,0
CPRT,CPRT,Copart,Industrials,0.0,0
CPT,CPT,Camden Property Trust,Real Estate,0.0,0
CRH,CRH,CRH plc,Materials,0.0,0
CRL,CRL,Charles River Laboratories,Health Care,0.0,0
CRM,CRM,Salesforce,Information Technology,0.0,0
CRWD,CRWD,CrowdStrike,Information Technology,0.06026058631921824,0
CSCO,CSCO,Cisco,Information Technology,0.0,0
CSGP,CSGP,CoStar Group,Real Estate,0.0,0
CSX,CSX,CSX Corporation,Industrials,0.0,0
CTAS,CTAS,Cintas,Industrials,0.0,0
CTRA,CTRA,Coterra,Energy,0.0,0
CTSH,CTSH,Cognizant,Information Technology,0.0,0
CTVA,CTVA,Corteva,Materials,0.05374592833876222,0
CVNA,CVNA,Carvana,Consumer Discretionary,0.0,12
CVS,CVS,CVS Health,Health Care,0.0,0
CVX,CVX,Chevron Corporation,Energy,0.0,0
D,D,Dominion Energy,Utilities,0.0,0
DAL,DAL,Delta Air Lines,Industrials,0.0,0
DASH,DASH,DoorDash,Consumer Discretionary,0.26547231270358307,0
DD,DD,DuPont,Materials,0.0,0
DDOG,DDOG,Datadog,Information Technology,0.09771986970684039,0
DE,DE,Deere & Company,Industrials,0.0,0
DECK,DECK,Deckers Brands,Consumer Discretionary,0.0,0
DELL,DELL,Dell Technologies,Information Technology,0.0,1
DG,DG,Dollar General,Consumer Staples,0.0,1
DGX,DGX,Quest Diagnostics,Health Care,0.0,0
DHI,DHI,D. R. Horton,Consumer Discretionary,0.0,0
DHR,DHR,Danaher Corporation,Health Care,0.0,0
DIS,DIS,Walt Disney Company (The),Communication Services,0.0,0
DLR,DLR,Digital Realty,Real Estate,0.0,0
DLTR,DLTR,Dollar Tree,Consumer Staples,0.0,0
DOC,DOC,Healthpeak Properties,Real Estate,0.0,0
DOV,DOV,Dover Corporation,Industrials,0.0,0
DOW,DOW,Dow Inc.,Materials,0.028773072747014114,0
DPZ,DPZ,Domino's,Consumer Discretionary,0.0,0
DRI,DRI,Darden Restaurants,Consumer Discretionary,0.0,1
DTE,DTE,DTE Energy,Utilities,0.0,0
DUK,DUK,Duke Energy,Utilities,0.0,0
DVA,DVA,DaVita,Health Care,0.0,0
DVN,DVN,Devon Energy,Energy,0.0,1
DXCM,DXCM,Dexcom,Health Care,0.0,1
EA,EA,Electronic Arts,Communication Services,0.0,0
EBAY,EBAY,eBay Inc.,Consumer Discretionary,0.0,0
ECL,ECL,Ecolab,Materials,0.0,0
ED,ED,Consolidated Edison,Utilities,0.0,0
EFX,EFX,Equifax,Industrials,0.0,0
EG,EG,Everest Group,Financials,0.0,0
EIX,EIX,Edison International,Utilities,0.0,0
EL,EL,Estée Lauder Companies (The),Consumer Staples,0.0,0
ELV,ELV,Elevance Health,Health Care,0.0,0
EME,EME,Emcor,Industrials,0.0,0
EMR,EMR,Emerson Electric,Industrials,0.0,0
EOG,EOG,EOG Resources,Energy,0.0,1
EPAM,EPAM,EPAM Systems,Information Technology,0.0,1
EQIX,EQIX,Equinix,Real Estate,0.0,0
EQR,EQR,Equity Residential,Real Estate,0.0,0
EQT,EQT,EQT Corporation,Energy,0.0,1
ERIE,ERIE,Erie Indemnity,Financials,0.0,0
ES,ES,Eversource Energy,Utilities,0.0,0
ESS,ESS,Essex Property Trust,Real Estate,0.0,0
ETN,ETN,Eaton Corporation,Industrials,0.0,0
ETR,ETR,Entergy,Utilities,0.0,0
EVRG,EVRG,Evergy,Utilities,0.0,0
EW,EW,Edwards Lifesciences,Health Care,0.0,1
EXC,EXC,Exelon,Utilities,0.0,0
EXE,EXE,Expand Energy,Energy,0.28827361563517917,0
EXPD,EXPD,Expeditors International,Industrials,0.0,0
EXPE,EXPE,Expedia Group,Consumer Discretionary,0.0,0
EXR,EXR,Extra Space Storage,Real Estate,0.0,0
F,F,Ford Motor Company,Consumer Discretionary,0.0,0
FANG,FANG,Diamondback Energy,Energy,0.0,2
FAST,FAST,Fastenal,Industrials,0.0,0
FCX,FCX,Freeport-McMoRan,Materials,0.0,0
FDS,FDS,FactSet,Financials,0.0,0
FDX,FDX,FedEx,Industrials,0.0,0
FE,FE,FirstEnergy,Utilities,0.0,0
FFIV,FFIV,"F5, Inc.",Information Technology,0.0,0
FICO,FICO,Fair Isaac,Information Technology,0.0,1
