ticker,cluster_id,symbol,company_name,sector,sub_industry,observations,annual_return,annual_volatility,risk_free_rate,excess_annual_return,sharpe_ratio,selected,mst_degree
EOG,21,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,1842,0.10406472404985756,0.4254745316805595,0.0368,0.06726472404985756,0.15809342050197966,False,2
SLB,21,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,1842,0.08779526518975911,0.45203032780097163,0.0368,0.05099526518975911,0.11281381370546505,False,1
DD,21,DD,DuPont,Materials,Specialty Chemicals,1842,0.06953869448318484,0.3417660895028522,0.0368,0.03273869448318484,0.09579269415174561,False,4
HAL,21,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,1842,0.08148987134829522,0.5094695609201758,0.0368,0.04468987134829522,0.08771843261367536,False,4
APA,21,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1842,0.08281794324297764,0.6454101597315653,0.0368,0.046017943242977644,0.07130030810503063,False,1
LYB,21,LYB,LyondellBasell,Materials,Specialty Chemicals,1842,0.04491084516730037,0.39644783328755406,0.0368,0.008110845167300373,0.020458795549570738,False,3
DOW,21,DOW,Dow Inc.,Materials,Commodity Chemicals,1789,0.02594301391018594,0.38681339516589286,0.0368,-0.010856986089814058,-0.028067761420614238,False,2
OXY,21,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1842,0.01470036596349078,0.5524285191429629,0.0368,-0.02209963403650922,-0.0400045132912301,False,1
MOS,21,MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,1842,-0.013767496128316181,0.48307887866727117,0.0368,-0.05056749612831618,-0.10467751409008591,False,2
MCK,22,MCK,McKesson Corporation,Health Care,Health Care Distributors,1842,0.32050939844871573,0.28535339127680387,0.0368,0.28370939844871573,0.9942387478882513,True,1
COR,22,COR,Cencora,Health Care,Health Care Distributors,1842,0.2563047175582598,0.26142910479359677,0.0368,0.2195047175582598,0.8396338186276655,False,3
CAH,22,CAH,Cardinal Health,Health Care,Health Care Distributors,1842,0.25646119599042727,0.2926562950871133,0.0368,0.21966119599042727,0.7505773826769794,False,1
UNH,22,UNH,UnitedHealth Group,Health Care,Managed Health Care,1842,0.07605923024086025,0.33265335024628145,0.0368,0.039259230240860254,0.1180184423568694,False,2
CI,22,CI,Cigna,Health Care,Health Care Services,1842,0.07223440839539319,0.32991094173927754,0.0368,0.03543440839539319,0.10740598116747622,False,4
CVS,22,CVS,CVS Health,Health Care,Health Care Services,1842,0.06780871655272747,0.30421728787408175,0.0368,0.031008716552727467,0.10192950167106299,False,1
ELV,22,ELV,Elevance Health,Health Care,Managed Health Care,1842,0.0674035184206252,0.3347197126335048,0.0368,0.030603518420625198,0.09143028410201211,False,3
CNC,22,CNC,Centene Corporation,Health Care,Managed Health Care,1842,-0.006232763350717763,0.4077835533671174,0.0368,-0.04303276335071776,-0.10552844271278501,False,1
