Method,Final Value,CAGR,Sharpe,Max Drawdown,Volatility,Turnover
Equal Weight,2.8462,27.37%,1.3256,-16.24%,16.25%,4.27
Inverse Volatility,2.6675,25.48%,1.3433,-15.32%,14.74%,4.00
Risk Parity,2.4845,23.43%,1.2372,-16.86%,14.66%,4.08
Markowitz,2.7612,26.48%,1.1003,-22.57%,19.46%,9.92
CVaR Bootstrap,2.0427,17.97%,1.0041,-18.36%,13.36%,20.89
CVaR Monte Carlo,1.7936,14.47%,0.7825,-18.58%,13.27%,16.17
S&P 500,1.5231,10.22%,0.4127,-25.43%,17.55%,0.00
