ticker,weight,company_name,sector,sub_industry,cluster_id,sharpe_ratio
AAPL,0.09999999999999969,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",19,0.9144976393461364
MRNA,0.09999999999999967,Moderna,Health Care,Biotechnology,18,0.1673093116614791
MCK,0.09999999999999953,McKesson Corporation,Health Care,Health Care Distributors,22,0.9942387478882512
STX,0.09999999999999946,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",10,1.1929713180792945
STLD,0.09999999999999938,Steel Dynamics,Materials,Steel,21,0.7375547761559569
PWR,0.09999999999999933,Quanta Services,Industrials,Construction & Engineering,16,1.4193912785946847
HWM,0.0999999999999993,Howmet Aerospace,Industrials,Aerospace & Defense,17,1.0833411154737191
NVDA,0.09999999999999924,Nvidia,Information Technology,Semiconductors,12,1.3940509605265778
LLY,0.09999999999999924,Lilly (Eli),Health Care,Pharmaceuticals,23,0.9759801128453782
VRT,0.099999999999999,Vertiv,Industrials,Electrical Components & Equipment,13,1.0402618918020048
TGT,7.769784074461073e-16,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2,0.2562734242626199
IRM,7.702172233337018e-16,Iron Mountain,Real Estate,Other Specialized REITs,5,0.7308371708980332
KR,6.798322803944216e-16,Kroger,Consumer Staples,Food Retail,4,0.4310633509525201
PGR,5.984456920772928e-16,Progressive Corporation,Financials,Property & Casualty Insurance,9,0.7058543130593218
SW,4.679866032485701e-16,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,15,0.1356713241946236
TKO,4.4325778993385523e-16,TKO Group Holdings,Communication Services,Movies & Entertainment,14,0.3026471975745246
EA,4.1944388171540457e-16,Electronic Arts,Communication Services,Interactive Home Entertainment,20,0.3630337269751563
PM,3.897507485328841e-16,Philip Morris International,Consumer Staples,Tobacco,1,0.6075251977941132
MSI,3.75984724075866e-16,Motorola Solutions,Information Technology,Communications Equipment,24,0.6745795362896225
CBOE,3.5964183402328506e-16,Cboe Global Markets,Financials,Financial Exchanges & Data,8,0.6059014989809154
MCD,3.0681088332345373e-16,McDonald's,Consumer Discretionary,Restaurants,6,0.2818477761279309
TMUS,2.9297773861745943e-16,T-Mobile US,Communication Services,Wireless Telecommunication Services,7,0.4951035143012142
COST,2.6940109039941926e-16,Costco,Consumer Staples,Consumer Staples Merchandise Retail,3,1.0005629788573591
NEM,0.0,Newmont,Materials,Gold,11,0.4665195277131281
HCA,0.0,HCA Healthcare,Health Care,Health Care Facilities,25,0.4697923294082844
