ticker,cluster_id,symbol,company_name,sector,sub_industry
IEX,16,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components
IFF,16,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals
IP,16,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials
IR,16,IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components
ITW,16,ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
IVZ,16,IVZ,Invesco,Financials,Asset Management & Custody Banks
J,16,J,Jacobs Solutions,Industrials,Construction & Engineering
JBHT,16,JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation
JBL,16,JBL,Jabil,Information Technology,Electronic Manufacturing Services
JCI,16,JCI,Johnson Controls,Industrials,Building Products
KEYS,16,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments
KKR,16,KKR,KKR & Co.,Financials,Asset Management & Custody Banks
LEN,16,LEN,Lennar,Consumer Discretionary,Homebuilding
LII,16,LII,Lennox International,Industrials,Building Products
LIN,16,LIN,Linde plc,Materials,Industrial Gases
LOW,16,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail
LULU,16,LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
MAS,16,MAS,Masco,Industrials,Building Products
MLM,16,MLM,Martin Marietta Materials,Materials,Construction Materials
MMM,16,MMM,3M,Industrials,Industrial Conglomerates
NDSN,16,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components
NKE,16,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NSC,16,NSC,Norfolk Southern,Industrials,Rail Transportation
NVR,16,NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding
ODFL,16,ODFL,Old Dominion,Industrials,Cargo Ground Transportation
OTIS,16,OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components
PCAR,16,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment
PH,16,PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components
PHM,16,PHM,PulteGroup,Consumer Discretionary,Homebuilding
PKG,16,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials
PNR,16,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components
POOL,16,POOL,Pool Corporation,Consumer Discretionary,Distributors
PPG,16,PPG,PPG Industries,Materials,Specialty Chemicals
PWR,16,PWR,Quanta Services,Industrials,Construction & Engineering
ROK,16,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment
ROST,16,ROST,Ross Stores,Consumer Discretionary,Apparel Retail
SBUX,16,SBUX,Starbucks,Consumer Discretionary,Restaurants
SHW,16,SHW,Sherwin-Williams,Materials,Specialty Chemicals
SNA,16,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components
SWK,16,SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components
TDG,16,TDG,TransDigm Group,Industrials,Aerospace & Defense
TDY,16,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments
TEL,16,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services
TJX,16,TJX,TJX Companies,Consumer Discretionary,Apparel Retail
TRMB,16,TRMB,Trimble Inc.,Information Technology,Application Software
TROW,16,TROW,T. Rowe Price,Financials,Asset Management & Custody Banks
TT,16,TT,Trane Technologies,Industrials,Building Products
TXT,16,TXT,Textron,Industrials,Aerospace & Defense
ULTA,16,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail
UNP,16,UNP,Union Pacific Corporation,Industrials,Rail Transportation
UPS,16,UPS,United Parcel Service,Industrials,Air Freight & Logistics
URI,16,URI,United Rentals,Industrials,Trading Companies & Distributors
VMC,16,VMC,Vulcan Materials Company,Materials,Construction Materials
WAB,16,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment
WSM,16,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail
XYL,16,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components
ZBRA,16,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments
ABNB,17,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
AMP,17,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
APTV,17,APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
AXP,17,AXP,American Express,Financials,Consumer Finance
BA,17,BA,Boeing,Industrials,Aerospace & Defense
BAC,17,BAC,Bank of America,Financials,Diversified Banks
BK,17,BK,BNY Mellon,Financials,Asset Management & Custody Banks
BKNG,17,BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
C,17,C,Citigroup,Financials,Diversified Banks
CCL,17,CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CFG,17,CFG,Citizens Financial Group,Financials,Regional Banks
COF,17,COF,Capital One,Financials,Consumer Finance
DAL,17,DAL,Delta Air Lines,Industrials,Passenger Airlines
DIS,17,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment
EXPE,17,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
F,17,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers
FITB,17,FITB,Fifth Third Bancorp,Financials,Regional Banks
FOX,17,FOX,Fox Corporation (Class B),Communication Services,Broadcasting
FOXA,17,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting
GE,17,GE,GE Aerospace,Industrials,Aerospace & Defense
