method,Method,allocation_only_cagr,full_pipeline_cagr,cagr_gap,allocation_only_sharpe,full_pipeline_sharpe
equal,Equal Weight,0.2737366863323511,0.1209391940701654,0.1527974922621857,1.3255939378224857,0.534255114312967
inverse_volatility,Inverse Volatility,0.2547768341718883,0.1270214215620526,0.1277554126098357,1.3432673837165914,0.6143936550524539
risk_parity,Risk Parity,0.2343189106880296,0.1202402705065091,0.1140786401815205,1.2371997363512088,0.5772287232486125
markowitz_best_sharpe_default,Markowitz,0.264835430793104,0.1040563070416584,0.1607791237514456,1.100336379930605,0.4012675368377568
cvar_bootstrap,CVaR Bootstrap,0.1796531147198961,0.1262719828888308,0.0533811318310653,1.00409655561836,0.635723493585642
cvar_montecarlo,CVaR Monte Carlo,0.1446958797754538,0.098749985435971,0.04594589433948282,0.7825004048365449,0.4643728753059205
benchmark_sp500,S&P 500,0.1022213310312198,0.1022213310312198,0.0,0.4126768876210943,0.4126768876210943
