method,first_return_date,last_return_date,observations,years,final_value,total_return,cagr,annualized_arithmetic_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,positive_day_rate,total_turnover,average_turnover_per_rebalance,total_transaction_cost_value,total_transaction_cost_rate
equal,2022-01-03,2026-05-01,1086,4.323066392881588,2.8462060425611955,1.8462060425611955,0.27373668633235115,0.2560326565617129,0.1625249860055839,1.3255939378224855,1.846999404104003,-0.16241045698605705,1.685462201216831,0.5534069981583793,4.271811671135968,0.0806002202101126,0.0062157374077400915,0.004271811671135968
inverse_volatility,2022-01-03,2026-05-01,1086,4.323066392881588,2.6675310880142384,1.6675310880142384,0.25477683417188834,0.23864628187077352,0.14744328932841386,1.3432673837165914,1.8405731381034032,-0.15317436471986712,1.6633124912111559,0.5543278084714549,3.996149225579686,0.07539904199206955,0.0057103790628588134,0.003996149225579686
risk_parity,2022-01-03,2026-05-01,1086,4.323066392881588,2.484543734050123,1.4845437340501229,0.23431891068802968,0.22202356020495737,0.14664813975148355,1.2371997363512088,1.7106008794784733,-0.16862338185185632,1.3895991653986042,0.5626151012891344,4.075278153144224,0.07689204062536273,0.00557233705779751,0.004075278153144225
markowitz_best_sharpe_default,2022-01-03,2026-05-01,1086,4.323066392881588,2.761212648672799,1.761212648672799,0.264835430793104,0.25473364477110566,0.19461605406210816,1.100336379930605,1.5760672735325538,-0.22574352680807708,1.1731695457130966,0.5359116022099447,9.919670890394347,0.1871636017055537,0.014289821011915773,0.009919670890394347
cvar_bootstrap,2022-01-03,2026-05-01,1086,4.323066392881588,2.042672225988119,1.042672225988119,0.1796531147198961,0.17473237404177913,0.13359457606260078,1.00409655561836,1.3746655321083905,-0.18360453180891245,0.978478651642821,0.5506445672191529,20.885123753459837,0.39405893874452524,0.02655095672088896,0.020885123753459838
cvar_montecarlo,2022-01-03,2026-05-01,1086,4.323066392881588,1.7935821938417902,0.7935821938417902,0.14469587977545384,0.14442155337573884,0.1326913473347036,0.7825004048365449,1.0625893296187943,-0.18576018401084193,0.7789391496673401,0.5395948434622467,16.17192684560169,0.3051306952000319,0.019539046366234283,0.01617192684560169
benchmark_sp500,2022-01-03,2026-05-01,1086,4.323066392881588,1.5231086296606622,0.5231086296606622,0.10222133103121989,0.11302014201690151,0.17551169891389032,0.41267688762109433,0.5711933930292142,-0.2542509661923039,0.40204893834662675,0.5313075506445673,0.0,0.0,0.0,0.0
