method,annual_return,annual_volatility,sharpe_ratio,historical_var_95_daily,historical_cvar_95_daily,max_weight,min_weight,effective_number_of_holdings,weight_sum
equal,0.3126384781701285,0.17890881146167453,1.5417825199136044,0.015532362989939584,0.02559460914363455,0.04,0.04,25.0,1.0
inverse_volatility,0.28634267914357686,0.16823481084823388,1.4832999061573025,0.013994681837779865,0.02411258929770425,0.06063809022579232,0.01814643773478954,23.396282364698894,1.0
risk_parity,0.2814595825324714,0.16316053183530957,1.4995022373390219,0.013303002084741649,0.02309245987339739,0.0702719917094812,0.02212021451647245,23.150887433818465,0.9999999999999999
markowitz_best_sharpe_default,0.4247895761430061,0.21615785612222813,1.7949362706651495,0.018866390659764056,0.03041067304759677,0.09999999999999998,0.0,11.35824254536136,1.0
cvar_bootstrap,0.24372213753010766,0.1493998421294465,1.3850224644201523,0.011997906757435155,0.019946649922857454,0.10000000000008043,0.0,11.683508343661442,1.0
cvar_montecarlo,0.24396191513356816,0.1476285665585851,1.4032644220748276,0.012002231194755809,0.020267077060619487,0.1,0.0,12.905436943946453,1.0
