date,equal,inverse_volatility,risk_parity,markowitz_best_sharpe_default,cvar_bootstrap,cvar_montecarlo,benchmark_sp500
2025-08-12,0.24708937575122802,0.2531385187804185,0.23520837352119517,0.21879606470848856,0.24142798536066779,0.17513290508507473,0.21176613031071523
2025-08-13,0.2446067883046188,0.24984621195627543,0.232008851568684,0.19644070513339962,0.23570569373660155,0.17240797321352308,0.21002737362994828
2025-08-14,0.2349986301352769,0.2411363929492627,0.22355098631030335,0.18897966994376358,0.23345453815151984,0.165986854420624,0.2103420359640773
2025-08-15,0.22174113238421223,0.23050929363335904,0.21414375778200823,0.1697963738240864,0.22983997713345428,0.16334181010396853,0.18684012786313797
2025-08-18,0.21291179253475523,0.2208249931657913,0.2035330423569086,0.15673771941101444,0.21280417347283231,0.14770392119761921,0.18220012584730005
2025-08-19,0.19891405209338386,0.21235523198382955,0.1941430503431072,0.12968926011656623,0.210702956918003,0.14552803084357935,0.1566147236977904
2025-08-20,0.19601604981844933,0.21223953317135202,0.19343540044451446,0.14072102077481619,0.21977386283200473,0.14980282648295296,0.15151096640523054
2025-08-21,0.18269418177400953,0.19914896501699464,0.18158129853088734,0.1261616014444631,0.20520756865302303,0.13820628464603368,0.13585698245887823
2025-08-22,0.1920952266272129,0.20308257053525236,0.1865951071933507,0.12778036902433465,0.19897876305159534,0.1369633611180172,0.15539956635763064
2025-08-25,0.17043812129569136,0.1824921719240069,0.16612723798783802,0.10825477285396001,0.184425447587806,0.12202079958755374,0.1456131567898955
2025-08-26,0.18068795963088347,0.18934640365894362,0.17389711755018955,0.13162877677136686,0.18865405522666823,0.12534948053315298,0.1607175805139791
2025-08-27,0.17113140025982942,0.18125552483335472,0.16449166038343965,0.1181520521058006,0.17981685446768148,0.11513511578428282,0.15028370368296917
2025-08-28,0.17263962355452,0.18107950690759522,0.16313832762046765,0.12394771258113457,0.1724476555795662,0.10629698074388827,0.1575654717155679
2025-08-29,0.16434389543428196,0.1744321898145329,0.15802734148433872,0.10558721543079685,0.17157281751421372,0.10676018547410893,0.14832734720532037
2025-09-02,0.16728145346419687,0.1785632129163377,0.16183825178263467,0.10798892430038642,0.1755678151818052,0.11346826877421079,0.14723414435877635
2025-09-03,0.17340465971668673,0.18279746985519107,0.16493751531166723,0.11787891814203322,0.1708227771045232,0.11118579369483084,0.1531305321692511
2025-09-04,0.17038671855652154,0.17958322289428086,0.16039787158050367,0.11047038577595325,0.16122284732563208,0.1044058651905273,0.15113663878986716
2025-09-05,0.19761540882560125,0.19840350255955364,0.18042063068702885,0.12581213908733013,0.17066554183896288,0.1118748943660881,0.17228827167891625
2025-09-08,0.19876769728268595,0.1994037529568775,0.1823440336678317,0.13592066308335404,0.17789094414507312,0.11477896416221545,0.17664270728006715
2025-09-09,0.2088156370629375,0.21163960398202097,0.19216221416177914,0.16055680202338896,0.19086854646058016,0.12119555337953192,0.18337715677708388
2025-09-10,0.23406785954070886,0.23142508608689094,0.21320393856664444,0.20037826122496516,0.210902146734401,0.13287483126986643,0.2077538603544622
2025-09-11,0.23442453875398095,0.23287959255584645,0.21556501775264048,0.19256523013390647,0.2166538294788638,0.13755274178084953,0.2040596320654433
2025-09-12,0.22385367555183877,0.2256230842610103,0.2072520519127572,0.18520470442427306,0.21014248507626698,0.13317024821746726,0.1981195620544962
2025-09-15,0.21809043801426942,0.2201657873047771,0.2024060542342243,0.16695730246524865,0.20245636960206337,0.12728399327225293,0.19105601142449524
2025-09-16,0.20848969929119798,0.2068161836031439,0.18922732148648036,0.14500048287812795,0.18562848962934164,0.1100168760090472,0.1806725167528893
2025-09-17,0.2007955020416301,0.19964861567170256,0.1824321651606131,0.13450893384165807,0.1804818540530857,0.10623242519514364,0.17318283168963822
2025-09-18,0.201706192360253,0.1969145718259926,0.1780564928456403,0.1435651847688868,0.16765290110569997,0.09278343590397897,0.1773218863703665
2025-09-19,0.20831193314798258,0.20672934044262248,0.18611076811051874,0.14915781947595597,0.1780246671133614,0.10417113987365267,0.18276069749263857
2025-09-22,0.22789188495958324,0.22286947798339152,0.20162810833908873,0.169250255756624,0.18596355803480424,0.11336866137921309,0.19142764472289753
2025-09-23,0.20948915792083267,0.21076101275906223,0.1913104939408139,0.15164303826278558,0.19165865178501384,0.12065157695812712,0.1650926139177462
2025-09-24,0.20249865655610821,0.20228491163139162,0.18410817188995132,0.15176429191866303,0.18142353249379628,0.1145097980925871,0.1640354652207232
2025-09-25,0.18798335077247175,0.18886407967380525,0.17083826907034871,0.13647718859006397,0.16960564351536078,0.10418340616129207,0.1549601417599309
