annual_return,annual_volatility,sharpe_ratio,historical_var_95_daily,historical_cvar_95_daily,max_weight,min_weight,effective_number_of_holdings,rebalance_date,method,delta,penalty,weight_sum
0.3736563242120974,0.1637973426904949,2.2775480852397596,0.012605371061538456,0.022090543361521768,0.09999999999999953,0.0,11.77772139920948,2021-12-31,markowitz_d31_62,31.622776601683793,annual_volatility,0.9999999999999999
0.3916225247143884,0.16463929639976543,2.3750254845898717,0.012711583457127015,0.022118542797354177,0.09999999999999995,0.0,11.461346961536613,2021-12-31,markowitz_d16_68,16.68100537200059,annual_volatility,1.0
0.4196077479570546,0.16705035430734091,2.508272129648764,0.013370749737649418,0.022429957110083453,0.09999999999999998,0.0,11.63448724586647,2021-12-31,markowitz_d8_799,8.799225435691074,annual_volatility,1.0
0.49055726248173753,0.17897112774753626,2.7376329838681612,0.014482955003834879,0.023835699443066276,0.09999999999999998,0.0,11.920735910654233,2021-12-31,markowitz_d4_642,4.641588833612779,annual_volatility,1.0
0.6213820495660911,0.2168565374016963,2.8626393144707434,0.01811158677319329,0.02917250649658573,0.1,0.0,11.459432254047304,2021-12-31,markowitz_d2_448,2.448436746822227,annual_volatility,1.0
0.6779271481747471,0.24615378770993143,2.751642192777923,0.021185347539554242,0.03389372136594547,0.09999999999999996,0.0,10.525237834166118,2021-12-31,markowitz_d1_292,1.291549665014884,annual_volatility,1.0
0.6871757927036274,0.2568020011631938,2.6735609130526936,0.022185232116702824,0.03519326142890605,0.09999999999999971,0.0,10.621151731726751,2021-12-31,markowitz_d0_6813,0.6812920690579614,annual_volatility,1.0
0.692968159364095,0.26809742890042737,2.5825244285399083,0.022132521377981437,0.03753293260942436,0.09999999999999946,3.0264278032037757e-17,10.112096779857216,2021-12-31,markowitz_d0_3594,0.35938136638046275,annual_volatility,1.0
0.6932443262294778,0.26888163680793553,2.5760194502395106,0.022227628622014543,0.03773076730736914,0.09999999999999994,0.0,10.000000000000025,2021-12-31,markowitz_d0_1896,0.1895735652406376,annual_volatility,1.0
0.6932443262294724,0.26888163680793375,2.576019450239507,0.022227628622014304,0.03773076730736895,0.09999999999999935,0.0,10.000000000000266,2021-12-31,markowitz_d0_1,0.1,annual_volatility,1.0
0.33530159271398774,0.16497470786423002,2.019107031776785,0.01262427874328004,0.022045440062067656,0.1,0.0,11.892484352341448,2022-01-31,markowitz_d31_62,31.622776601683793,annual_volatility,1.0
0.34687410292414883,0.16552297065731403,2.0823339597845636,0.012666048560172526,0.022046976797713086,0.1,0.0,11.955791244907013,2022-01-31,markowitz_d16_68,16.68100537200059,annual_volatility,1.0
0.37303438325220223,0.16778852853306964,2.2101295392140834,0.013451653280551664,0.02231493797313033,0.1,0.0,12.034843730279905,2022-01-31,markowitz_d8_799,8.799225435691074,annual_volatility,0.9999999999999998
0.42577002913645023,0.17658403984748253,2.3986880666128836,0.014948421487513557,0.023498418262991445,0.09999999999999998,0.0,12.290965531309094,2022-01-31,markowitz_d4_642,4.641588833612779,annual_volatility,1.0
0.5474923930497705,0.21313637721672693,2.55842010721282,0.0183566438821572,0.028658013118683847,0.1,0.0,12.122428630514694,2022-01-31,markowitz_d2_448,2.448436746822227,annual_volatility,1.0
0.6030228787744975,0.24304228119682322,2.472091999037535,0.020445112072345756,0.032843197784504126,0.09999999999999998,0.0,10.988216938726989,2022-01-31,markowitz_d1_292,1.291549665014884,annual_volatility,1.0
0.6094656965237545,0.24861539273703442,2.4425909025113013,0.020788403676880937,0.03374154991386943,0.0999999999999999,0.0,10.000000000000055,2022-01-31,markowitz_d0_6813,0.6812920690579614,annual_volatility,1.0
0.6094656965237539,0.24861539273703415,2.4425909025113017,0.020788403676880916,0.03374154991386939,0.0999999999999999,0.0,10.000000000000087,2022-01-31,markowitz_d0_3594,0.35938136638046275,annual_volatility,1.0
0.610414496376711,0.2529241592928182,2.404730722748245,0.02159093505462451,0.03461650198210841,0.09999999999999988,0.0,10.49137006419875,2022-01-31,markowitz_d0_1896,0.1895735652406376,annual_volatility,1.0000000000000002
0.6109818727603165,0.25615845032995666,2.376583212367763,0.02191255049646441,0.035249309035824114,0.09999999999999983,0.0,10.000000000000083,2022-01-31,markowitz_d0_1,0.1,annual_volatility,1.0
0.31469688658507505,0.15947294813209173,1.9514086259150996,0.01214266860668135,0.02179787824130363,0.09999999999999976,0.0,12.02185351778556,2022-02-28,markowitz_d31_62,31.622776601683793,annual_volatility,1.0
0.3263982283781466,0.16002242858327229,2.0178310705371976,0.011990621253775499,0.02180463701852892,0.09999999999999994,0.0,12.099059691056937,2022-02-28,markowitz_d16_68,16.68100537200059,annual_volatility,1.0000000000000002
0.35575811634277216,0.16253997925774002,2.167209064203187,0.012057042108603658,0.022200621758021975,0.09999999999999998,0.0,12.311203407244761,2022-02-28,markowitz_d8_799,8.799225435691074,annual_volatility,1.0
