ticker,weight,company_name,sector,sub_industry,cluster_id,sharpe_ratio
PWR,0.0999999999999999,Quanta Services,Industrials,Construction & Engineering,16,1.4193912785946847
NVDA,0.09999999999999987,Nvidia,Information Technology,Semiconductors,12,1.3940509605265778
HWM,0.0999999999999998,Howmet Aerospace,Industrials,Aerospace & Defense,17,1.0833411154737191
STLD,0.0999999999999998,Steel Dynamics,Materials,Steel,21,0.7375547761559569
LLY,0.09999999999999978,Lilly (Eli),Health Care,Pharmaceuticals,23,0.9759801128453782
STX,0.09999999999999977,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",10,1.1929713180792945
AAPL,0.09999999999999976,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",19,0.9144976393461364
MCK,0.09999999999999974,McKesson Corporation,Health Care,Health Care Distributors,22,0.9942387478882512
VRT,0.09999999999999955,Vertiv,Industrials,Electrical Components & Equipment,13,1.0402618918020048
MRNA,0.09999999999999952,Moderna,Health Care,Biotechnology,18,0.1673093116614791
MSI,3.757142625087022e-16,Motorola Solutions,Information Technology,Communications Equipment,24,0.6745795362896225
TGT,3.733519383199232e-16,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2,0.2562734242626199
COST,2.9844005137416613e-16,Costco,Consumer Staples,Consumer Staples Merchandise Retail,3,1.0005629788573591
TMUS,2.7830455236387103e-16,T-Mobile US,Communication Services,Wireless Telecommunication Services,7,0.4951035143012142
CBOE,2.6318230331821994e-16,Cboe Global Markets,Financials,Financial Exchanges & Data,8,0.6059014989809154
TKO,2.22744387786046e-16,TKO Group Holdings,Communication Services,Movies & Entertainment,14,0.3026471975745246
PGR,2.0856461584341326e-16,Progressive Corporation,Financials,Property & Casualty Insurance,9,0.7058543130593218
EA,2.0389600966361701e-16,Electronic Arts,Communication Services,Interactive Home Entertainment,20,0.3630337269751563
KR,1.6727416240059709e-16,Kroger,Consumer Staples,Food Retail,4,0.4310633509525201
MCD,6.826966330596956e-17,McDonald's,Consumer Discretionary,Restaurants,6,0.2818477761279309
PM,0.0,Philip Morris International,Consumer Staples,Tobacco,1,0.6075251977941132
IRM,0.0,Iron Mountain,Real Estate,Other Specialized REITs,5,0.7308371708980332
NEM,0.0,Newmont,Materials,Gold,11,0.4665195277131281
SW,0.0,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,15,0.1356713241946236
HCA,0.0,HCA Healthcare,Health Care,Health Care Facilities,25,0.4697923294082844
