ticker,weight,company_name,sector,sub_industry,cluster_id,sharpe_ratio
EA,0.09999999999999995,Electronic Arts,Communication Services,Interactive Home Entertainment,20,0.3630337269751563
MCD,0.09999999999999988,McDonald's,Consumer Discretionary,Restaurants,6,0.2818477761279309
CBOE,0.09999999999999958,Cboe Global Markets,Financials,Financial Exchanges & Data,8,0.6059014989809154
COST,0.09999999999999906,Costco,Consumer Staples,Consumer Staples Merchandise Retail,3,1.0005629788573591
KR,0.09999999999999871,Kroger,Consumer Staples,Food Retail,4,0.4310633509525201
PGR,0.08040696852917693,Progressive Corporation,Financials,Property & Casualty Insurance,9,0.7058543130593218
NEM,0.07708489688030602,Newmont,Materials,Gold,11,0.4665195277131281
PM,0.06845146144136734,Philip Morris International,Consumer Staples,Tobacco,1,0.6075251977941132
SW,0.06362991139908578,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,15,0.1356713241946236
MCK,0.049624991910060076,McKesson Corporation,Health Care,Health Care Distributors,22,0.9942387478882512
LLY,0.04451148680207584,Lilly (Eli),Health Care,Pharmaceuticals,23,0.9759801128453782
TMUS,0.04187149362415266,T-Mobile US,Communication Services,Wireless Telecommunication Services,7,0.4951035143012142
TKO,0.03170985140951722,TKO Group Holdings,Communication Services,Movies & Entertainment,14,0.3026471975745246
MRNA,0.01963851703587649,Moderna,Health Care,Biotechnology,18,0.1673093116614791
PWR,0.01204103728154919,Quanta Services,Industrials,Construction & Engineering,16,1.4193912785946847
TGT,0.007299801571627289,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2,0.2562734242626199
STX,0.0037295821152062195,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",10,1.1929713180792945
MSI,5.644990695879942e-16,Motorola Solutions,Information Technology,Communications Equipment,24,0.6745795362896225
HCA,5.448743866785306e-16,HCA Healthcare,Health Care,Health Care Facilities,25,0.4697923294082844
VRT,5.208206464368308e-16,Vertiv,Industrials,Electrical Components & Equipment,13,1.0402618918020048
HWM,2.192219023020507e-16,Howmet Aerospace,Industrials,Aerospace & Defense,17,1.0833411154737191
NVDA,9.410364144315849e-17,Nvidia,Information Technology,Semiconductors,12,1.3940509605265778
IRM,0.0,Iron Mountain,Real Estate,Other Specialized REITs,5,0.7308371708980332
STLD,0.0,Steel Dynamics,Materials,Steel,21,0.7375547761559569
AAPL,0.0,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",19,0.9144976393461364
