date,equal,inverse_volatility,risk_parity,markowitz_best_sharpe_default,cvar_bootstrap,cvar_montecarlo,benchmark_sp500
2025-10-29,1.0836628019945358,1.1022503324520379,1.0258670965128494,0.8014307846762201,0.9243214639419284,0.5342027708727891,0.7740604099430204
2025-10-30,1.0840505664179931,1.0999564303808156,1.0373244323677795,0.8023652689230356,0.967960750060871,0.5777711632408967,0.7066622324158319
2025-10-31,1.0619905552933657,1.0770128939802686,1.0218984124301556,0.789133811121312,0.9909609353096877,0.5979316819535606,0.7121025039398056
2025-11-03,1.0651656139843635,1.0965150174176457,1.0194133196601756,0.8526644339104973,1.0064776101154778,0.6307070955055979,0.7389355857464781
2025-11-04,1.0771534121959312,1.1334093283059512,1.0420376355503354,0.8797142018921763,1.0104745778262647,0.6919113043549865,0.7778249818926888
2025-11-05,1.1202294585043633,1.1736177344070644,1.080308788439119,0.9366035358889995,1.0560271398347132,0.7370448591307706,0.7756584749299223
2025-11-06,1.0818910968404778,1.13058837179782,1.049625226669687,0.920364633069828,1.053248410500814,0.7324209674979627,0.7301062522718901
2025-11-07,1.043991060589739,1.0987773010763957,1.023472276845048,0.8479913311817582,1.0334630241241123,0.709113443853422,0.6732698172223266
2025-11-10,1.0432671190262244,1.1083492678770528,1.0383486165638214,0.8814583621872782,1.0678246428091531,0.7809503945889273,0.6243781342283616
2025-11-11,1.0260143766310057,1.0864803730375565,1.0317704735679958,0.784913844616992,1.1062538115087828,0.8532150072981973,0.5963310050418342
2025-11-12,0.9831261259998739,1.0195240574989604,0.9908768986416135,0.7159545124679236,1.0706830272663648,0.8244278716144676,0.5798634331724205
2025-11-13,0.9193305968816431,0.964722776665068,0.9478373113864471,0.6578682837824608,1.0592379734651074,0.8721840158860144,0.48443924599107424
2025-11-14,0.9588725795621396,1.0013494118798283,0.9845501184075269,0.7131687053079159,1.065516040866082,0.8802736415828495,0.4973592543535985
2025-11-17,0.9268423603752457,0.9622302293797126,0.9503925181751196,0.6810684184093919,1.0412834090775895,0.8568805446810706,0.44695633575133725
2025-11-18,0.9936843042158832,1.0273477755258618,1.02777262307293,0.7791410661262249,1.112544799907732,0.9299801159693349,0.43516961458549697
2025-11-19,1.0456244220842061,1.0761342401549396,1.0727691251383518,0.8879333344080422,1.1635857734782482,0.9799661816724355,0.5266031274331114
2025-11-20,0.8278139973010943,0.8740354565679739,0.8434655150364183,0.7107673716181278,0.9572444008286428,0.7827107680427682,0.42161569516667374
2025-11-21,0.8365040530658735,0.8944719669586013,0.8688237807171328,0.6391455274229876,0.9985727033171647,0.8626775090759238,0.45234251108144635
