rebalance_date,method,ticker,weight
2021-12-31,equal,PM,0.04
2021-12-31,equal,TGT,0.04
2021-12-31,equal,COST,0.04
2021-12-31,equal,KR,0.04
2021-12-31,equal,IRM,0.04
2021-12-31,equal,MCD,0.04
2021-12-31,equal,TMUS,0.04
2021-12-31,equal,CBOE,0.04
2021-12-31,equal,PGR,0.04
2021-12-31,equal,STX,0.04
2021-12-31,equal,NEM,0.04
2021-12-31,equal,NVDA,0.04
2021-12-31,equal,VRT,0.04
2021-12-31,equal,TKO,0.04
2021-12-31,equal,SW,0.04
2021-12-31,equal,PWR,0.04
2021-12-31,equal,HWM,0.04
2021-12-31,equal,MRNA,0.04
2021-12-31,equal,AAPL,0.04
2021-12-31,equal,EA,0.04
2021-12-31,equal,STLD,0.04
2021-12-31,equal,MCK,0.04
2021-12-31,equal,LLY,0.04
2021-12-31,equal,MSI,0.04
2021-12-31,equal,HCA,0.04
2021-12-31,inverse_volatility,PM,0.04903160091702626
2021-12-31,inverse_volatility,TGT,0.04355979734785908
2021-12-31,inverse_volatility,COST,0.06303885468860651
2021-12-31,inverse_volatility,KR,0.04531592976784385
2021-12-31,inverse_volatility,IRM,0.041400986009395395
2021-12-31,inverse_volatility,MCD,0.05310537949541916
2021-12-31,inverse_volatility,TMUS,0.04681873810515825
2021-12-31,inverse_volatility,CBOE,0.04453390055289279
2021-12-31,inverse_volatility,PGR,0.05081962782037423
2021-12-31,inverse_volatility,STX,0.03662256436039633
2021-12-31,inverse_volatility,NEM,0.04110151636373425
2021-12-31,inverse_volatility,NVDA,0.028823622445999373
2021-12-31,inverse_volatility,VRT,0.03494867282007257
2021-12-31,inverse_volatility,TKO,0.032656435856735125
2021-12-31,inverse_volatility,SW,0.030759259258867612
2021-12-31,inverse_volatility,PWR,0.03812746968207147
2021-12-31,inverse_volatility,HWM,0.0275901640769743
2021-12-31,inverse_volatility,MRNA,0.016864498907113
2021-12-31,inverse_volatility,AAPL,0.0408351074157858
2021-12-31,inverse_volatility,EA,0.041873609294222965
2021-12-31,inverse_volatility,STLD,0.029945049263101476
2021-12-31,inverse_volatility,MCK,0.04160235426509627
2021-12-31,inverse_volatility,LLY,0.04236672029855875
2021-12-31,inverse_volatility,MSI,0.04460327944158162
2021-12-31,inverse_volatility,HCA,0.03365486154511344
2021-12-31,risk_parity,PM,0.03918942609690975
2021-12-31,risk_parity,TGT,0.04187721327241895
2021-12-31,risk_parity,COST,0.051672627713031855
2021-12-31,risk_parity,KR,0.0693654427973484
2021-12-31,risk_parity,IRM,0.03713564039544795
2021-12-31,risk_parity,MCD,0.04069733723758872
2021-12-31,risk_parity,TMUS,0.03854104025280219
2021-12-31,risk_parity,CBOE,0.044779841993723694
2021-12-31,risk_parity,PGR,0.044289863464310825
2021-12-31,risk_parity,STX,0.03245064870303188
2021-12-31,risk_parity,NEM,0.06441434695219733
2021-12-31,risk_parity,NVDA,0.02398075586901593
2021-12-31,risk_parity,VRT,0.03820001224306986
2021-12-31,risk_parity,TKO,0.03559949813840482
2021-12-31,risk_parity,SW,0.05541270155790057
2021-12-31,risk_parity,PWR,0.031553903330331666
2021-12-31,risk_parity,HWM,0.025637163568156474
2021-12-31,risk_parity,MRNA,0.038444367032909016
2021-12-31,risk_parity,AAPL,0.03136871533446602
2021-12-31,risk_parity,EA,0.0464899655268578
2021-12-31,risk_parity,STLD,0.026158894998605197
2021-12-31,risk_parity,MCK,0.034032604472453674
2021-12-31,risk_parity,LLY,0.04344539276739127
2021-12-31,risk_parity,MSI,0.03489517604984435
2021-12-31,risk_parity,HCA,0.030367420231781753
2021-12-31,markowitz_best_sharpe_default,PM,2.8757845679570776e-17
2021-12-31,markowitz_best_sharpe_default,TGT,0.1
2021-12-31,markowitz_best_sharpe_default,COST,0.1
2021-12-31,markowitz_best_sharpe_default,KR,0.0835630626721063
2021-12-31,markowitz_best_sharpe_default,IRM,1.8531824019849148e-17
2021-12-31,markowitz_best_sharpe_default,MCD,2.2659422033141097e-17
2021-12-31,markowitz_best_sharpe_default,TMUS,0.0
2021-12-31,markowitz_best_sharpe_default,CBOE,1.3898870382844627e-17
2021-12-31,markowitz_best_sharpe_default,PGR,4.0266231018204335e-17
2021-12-31,markowitz_best_sharpe_default,STX,0.019364288023512075
2021-12-31,markowitz_best_sharpe_default,NEM,0.1
2021-12-31,markowitz_best_sharpe_default,NVDA,0.1
2021-12-31,markowitz_best_sharpe_default,VRT,0.06389600275332526
2021-12-31,markowitz_best_sharpe_default,TKO,0.0
2021-12-31,markowitz_best_sharpe_default,SW,0.09315340217533669
2021-12-31,markowitz_best_sharpe_default,PWR,0.1
2021-12-31,markowitz_best_sharpe_default,HWM,0.0
2021-12-31,markowitz_best_sharpe_default,MRNA,0.1
2021-12-31,markowitz_best_sharpe_default,AAPL,0.09507279009086156
2021-12-31,markowitz_best_sharpe_default,EA,0.0
2021-12-31,markowitz_best_sharpe_default,STLD,0.0
2021-12-31,markowitz_best_sharpe_default,MCK,0.0
2021-12-31,markowitz_best_sharpe_default,LLY,0.04495045428485793
2021-12-31,markowitz_best_sharpe_default,MSI,1.6196032089459007e-17
2021-12-31,markowitz_best_sharpe_default,HCA,9.913626180819285e-17
2021-12-31,cvar_bootstrap,PM,0.0
2021-12-31,cvar_bootstrap,TGT,0.10000000000000052
2021-12-31,cvar_bootstrap,COST,0.10000000000000052
2021-12-31,cvar_bootstrap,KR,0.10000000000000052
2021-12-31,cvar_bootstrap,IRM,0.035672928664607445
2021-12-31,cvar_bootstrap,MCD,0.0
2021-12-31,cvar_bootstrap,TMUS,0.0
2021-12-31,cvar_bootstrap,CBOE,0.10000000000000052
2021-12-31,cvar_bootstrap,PGR,0.09199136153093253
2021-12-31,cvar_bootstrap,STX,0.019579920907390743
2021-12-31,cvar_bootstrap,NEM,0.10000000000000052
2021-12-31,cvar_bootstrap,NVDA,0.0
