ticker,weight,company_name,sector,sub_industry,cluster_id,sharpe_ratio
KR,0.09999999999999995,Kroger,Consumer Staples,Food Retail,4,0.4310633509525201
CBOE,0.09999999999999994,Cboe Global Markets,Financials,Financial Exchanges & Data,8,0.6059014989809154
COST,0.09999999999999994,Costco,Consumer Staples,Consumer Staples Merchandise Retail,3,1.0005629788573591
MCD,0.08926998791981398,McDonald's,Consumer Discretionary,Restaurants,6,0.2818477761279309
EA,0.08534492002254664,Electronic Arts,Communication Services,Interactive Home Entertainment,20,0.3630337269751563
PGR,0.07712119427389476,Progressive Corporation,Financials,Property & Casualty Insurance,9,0.7058543130593218
NEM,0.0750934976043103,Newmont,Materials,Gold,11,0.4665195277131281
MCK,0.06516968363566802,McKesson Corporation,Health Care,Health Care Distributors,22,0.9942387478882512
LLY,0.05932154941360545,Lilly (Eli),Health Care,Pharmaceuticals,23,0.9759801128453782
SW,0.057911061076768654,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,15,0.1356713241946236
PM,0.05293352853116472,Philip Morris International,Consumer Staples,Tobacco,1,0.6075251977941132
PWR,0.03761301852761208,Quanta Services,Industrials,Construction & Engineering,16,1.4193912785946847
TMUS,0.02779686753895256,T-Mobile US,Communication Services,Wireless Telecommunication Services,7,0.4951035143012142
TKO,0.02350458273735741,TKO Group Holdings,Communication Services,Movies & Entertainment,14,0.3026471975745246
STX,0.022130050889228144,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",10,1.1929713180792945
MRNA,0.021651608690507942,Moderna,Health Care,Biotechnology,18,0.1673093116614791
VRT,0.005138449138569356,Vertiv,Industrials,Electrical Components & Equipment,13,1.0402618918020048
STLD,7.839354969327936e-17,Steel Dynamics,Materials,Steel,21,0.7375547761559569
AAPL,5.093333391452394e-17,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",19,0.9144976393461364
TGT,5.0550447813802233e-17,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2,0.2562734242626199
MSI,4.697484525495283e-17,Motorola Solutions,Information Technology,Communications Equipment,24,0.6745795362896225
IRM,2.1235104186902913e-17,Iron Mountain,Real Estate,Other Specialized REITs,5,0.7308371708980332
HCA,1.6130302527310612e-17,HCA Healthcare,Health Care,Health Care Facilities,25,0.4697923294082844
NVDA,1.2570808712568539e-17,Nvidia,Information Technology,Semiconductors,12,1.3940509605265778
HWM,1.0365528075303018e-17,Howmet Aerospace,Industrials,Aerospace & Defense,17,1.0833411154737191
