ticker,equal,inverse_volatility,risk_parity,markowitz_best_sharpe_default,cvar_bootstrap,cvar_montecarlo
PM,0.028467096885086793,0.04303132653055326,0.040018149837693806,0.004817515692108288,0.1047981621326102,0.04165308231457595
TGT,0.039905905925467805,0.03941522435443099,0.04010474272087721,0.0,0.0,0.0
COST,0.0304809304656216,0.049555877711703174,0.04001042775184498,0.04810409551857613,0.0,0.09864007594154608
KR,0.015542232486915131,0.022976655977571144,0.03988319269053546,0.04877403999513385,0.07419220162217109,0.07864448927015182
IRM,0.04330050497051414,0.047750874776689864,0.03997491148919908,0.0,0.0,0.01407727306772362
MCD,0.028291517588237607,0.049788688322434854,0.039957068254485646,0.0,0.06596274329221138,0.08052033927253131
TMUS,0.030678207808797302,0.043649012272620025,0.04003710416904638,1.9630062624798688e-18,0.0,0.029457501627663512
CBOE,0.02260112788227247,0.034018631738874885,0.04009029240481822,0.062050312103877424,0.08803495960003388,0.08933423641184271
PGR,0.026545342559803398,0.039556807629073786,0.04007258670626632,0.05648399254952558,0.10048006488572751,0.038883861196025556
STX,0.0548690871394659,0.04196574257264683,0.040037999981678424,0.11932788682865567,0.03128804143224277,0.0012495509973320354
NEM,0.02682606063441771,0.024787011033326478,0.03998308968399139,0.05526047541115539,0.113450277422446,0.11691400399665032
NVDA,0.07333951071007823,0.04612833773871531,0.03992877787895641,0.13665034069205492,0.0,0.0
VRT,0.0718465611456224,0.039507861571163747,0.03998515826967143,0.06526796041016446,0.0,0.0
TKO,0.03756789149810079,0.03494143908112882,0.040124908192561294,0.0,0.05589715496357797,0.029266013807058008
SW,0.03202650528483199,0.02118377699225395,0.040042493751785535,0.014800825286087956,0.06168131671209614,0.06410537592935191
PWR,0.05283967628279927,0.04870829319332383,0.03996828089563869,0.13722308588765464,0.0423049383944483,0.09692647513355925
HWM,0.05743098907537046,0.04839112667908037,0.03989268741192356,0.04222514254279998,0.0,0.0
MRNA,0.05297501352977615,0.01828539811425537,0.03997029255065466,0.030876559606176742,0.01557979673902522,0.024815054344203794
AAPL,0.046335625041815834,0.05228833477285124,0.03987691580274191,0.0,0.0,0.0
EA,0.02638408255560598,0.03448601730217715,0.040074639867762406,7.287685640095284e-18,0.09628755374687663,0.09826943641298856
STLD,0.057247793998667175,0.04658308967589708,0.039923608054229905,1.2149889588661807e-18,0.0,0.0
MCK,0.03018506845830613,0.04026447483929154,0.040058585338253,0.08403500284120197,0.030069085606949566,0.030363074246427292
LLY,0.031514777379704546,0.03443432648861283,0.04007426854101995,0.09410276463482699,0.11997370344958339,0.059207843395467204
MSI,0.03900011567077502,0.053305673079771264,0.03994228177045533,0.0,0.0,0.0
HCA,0.04379837502194614,0.04499599755155222,0.03996753598390914,0.0,0.0,0.007672312634901243
