ticker,markowitz_d100,markowitz_d68_13,markowitz_d46_42,markowitz_d31_62,markowitz_d21_54,markowitz_d14_68,markowitz_d10,markowitz_d6_813,markowitz_d4_642,markowitz_d3_162,markowitz_d2_154,markowitz_d1_468,markowitz_d1,markowitz_d0_6813,markowitz_d0_4642,markowitz_d0_3162,markowitz_d0_2154,markowitz_d0_1468,markowitz_d0_1,markowitz_d0_06813,markowitz_d0_04642,markowitz_d0_03162,markowitz_d0_02154,markowitz_d0_01468,markowitz_d0_01
PM,0.06933350471133841,0.06845146144136734,0.06708056258001845,0.06510641024846417,0.0624771931012369,0.05857430024055509,0.05320492781318576,0.05221084952851628,0.050799735364362365,0.03834091435507377,0.007646070091433471,2.5381489866307535e-17,2.1369889510742757e-17,4.860380899346984e-17,7.509851056314759e-17,0.0,0.0,0.0,0.0,1.4785454434563568e-16,3.509280603872059e-16,0.0,0.0,5.033519047346901e-16,0.0
TGT,0.008058857108087113,0.007299801571627289,0.006057759169487173,0.004342398841356864,0.00191507028114541,1.8699520737725284e-17,3.1079352283687576e-17,4.845363740520618e-17,1.4252181516483487e-17,9.210194211529086e-18,0.0,4.907737788856622e-18,2.960380943896838e-18,1.8139292003325195e-17,0.0,0.0,9.392764467325158e-17,1.5189853876730157e-16,1.5637059475492397e-16,0.0,0.0,0.0,0.0,2.0149357823151103e-16,3.733519383199232e-16
COST,0.09999999999999844,0.09999999999999906,0.1,0.09999999999999998,0.09999999999999995,0.09999999999999996,0.09999999999761709,0.09999999999999999,0.09999999999999996,0.09849828363683139,0.06288463127634952,0.009917243307722022,0.0429424616064001,0.0,3.526612364373535e-16,3.2244670604764894e-16,2.41417117643643e-16,8.351276166432061e-16,1.2128560412393538e-16,3.9418106541918943e-16,9.814808171990547e-17,0.0,0.0,5.190586726521226e-16,2.9844005137416613e-16
KR,0.09999999999999874,0.09999999999999871,0.09999999999999956,0.09999999999999948,0.09999999999999998,0.09999999999999996,0.09999999999761706,0.1,0.1,0.1,0.1,0.10000000000000002,0.04198649224775763,6.035431020105574e-17,0.0,4.25553876580379e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5417153965515674e-17,1.6727416240059709e-16
IRM,4.361449112268078e-16,0.0,1.840389146023641e-16,6.58502750897477e-17,1.4810022491007068e-16,1.86720124520103e-18,4.1359329897121875e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.836272883222078e-16,0.0,0.0,0.0,8.430756093247274e-16,3.989863994746653e-16,5.238864897449952e-16,4.926614671774127e-16,0.0,4.614364446098307e-16,0.0
MCD,0.09999999999999874,0.09999999999999988,0.09999999999999959,0.09999999999999994,0.09999999999999998,0.09999999999999994,0.09804503025915436,0.0676958368333111,0.019116735145210447,1.2024122655041733e-17,0.0,0.0,5.0086793670140186e-17,1.0312414483367323e-16,0.0,0.0,9.979553022801921e-17,0.0,0.0,0.0,0.0,0.0,0.0,3.186558056389086e-16,6.826966330596956e-17
TMUS,0.04272580076240286,0.04187149362415266,0.040658046567104686,0.03889233116057793,0.03698598843429213,0.033972368294179406,0.02863529782654558,0.025908049494742028,0.021770978305926596,0.0017572287873821946,3.007485677974119e-18,0.0,0.0,5.409718346747818e-17,6.845686750571768e-17,0.0,4.387459548527492e-17,0.0,0.0,0.0,0.0,0.0,0.0,3.3382498398961493e-16,2.7830455236387103e-16
CBOE,0.09999999999999874,0.09999999999999958,0.0999999999999997,0.09999999999999998,0.09999999999999995,0.09999999999999996,0.09999999999761704,0.09999999999999999,0.09999999999999999,0.1,0.1,0.06479093444869871,0.019113479887784526,0.0,0.0,0.0,2.6083894120870353e-16,0.0,0.0,0.0,0.0,6.159070527470547e-17,0.0,0.0,2.6318230331821994e-16
PGR,0.0808265577492415,0.08040696852917693,0.08008741683516528,0.07950780878848404,0.07883125238780113,0.07783632572955315,0.07653204761742549,0.07876600262752337,0.08159970922521119,0.08196830101489125,0.08070222179435456,0.05177665222112651,0.03978555737777664,3.92118465714085e-17,0.0,3.6657735889070456e-17,1.0590232862362763e-16,0.0,0.0,0.0,0.0,5.935256174296411e-16,0.0,0.0,2.0856461584341326e-16
STX,0.0028058522677940896,0.0037295821152062195,0.005059232390099573,0.0068861011407045135,0.010039543590326707,0.01445685395503213,0.019652152266007174,0.027605056787361068,0.041115987827243,0.055425868670465346,0.08220148431346302,0.10000000000000002,0.1,0.09999999999999992,0.09999999999999996,0.09999999999999996,0.09999999999999984,0.0999999999999999,0.0999999999999999,0.09999999999999992,0.0999999999999999,0.09999999999999991,0.1,0.09999999999999955,0.09999999999999977
