ticker,weight,company_name,sector,sub_industry,cluster_id,sharpe_ratio
STX,0.1,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",10,1.1929713180792945
MCK,0.1,McKesson Corporation,Health Care,Health Care Distributors,22,0.9942387478882512
VRT,0.1,Vertiv,Industrials,Electrical Components & Equipment,13,1.0402618918020048
NVDA,0.1,Nvidia,Information Technology,Semiconductors,12,1.3940509605265778
PWR,0.09999999999999999,Quanta Services,Industrials,Construction & Engineering,16,1.4193912785946847
HWM,0.09999999999999999,Howmet Aerospace,Industrials,Aerospace & Defense,17,1.0833411154737191
LLY,0.09999999999999998,Lilly (Eli),Health Care,Pharmaceuticals,23,0.9759801128453782
MRNA,0.058854468177848354,Moderna,Health Care,Biotechnology,18,0.1673093116614791
NEM,0.05866007515783339,Newmont,Materials,Gold,11,0.4665195277131281
COST,0.0429424616064001,Costco,Consumer Staples,Consumer Staples Merchandise Retail,3,1.0005629788573591
KR,0.04198649224775763,Kroger,Consumer Staples,Food Retail,4,0.4310633509525201
PGR,0.03978555737777664,Progressive Corporation,Financials,Property & Casualty Insurance,9,0.7058543130593218
STLD,0.035614149086065035,Steel Dynamics,Materials,Steel,21,0.7375547761559569
CBOE,0.019113479887784526,Cboe Global Markets,Financials,Financial Exchanges & Data,8,0.6059014989809154
AAPL,0.003043316458534285,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",19,0.9144976393461364
TKO,6.323706903768224e-17,TKO Group Holdings,Communication Services,Movies & Entertainment,14,0.3026471975745246
MCD,5.0086793670140186e-17,McDonald's,Consumer Discretionary,Restaurants,6,0.2818477761279309
MSI,3.3831341645674947e-17,Motorola Solutions,Information Technology,Communications Equipment,24,0.6745795362896225
PM,2.1369889510742757e-17,Philip Morris International,Consumer Staples,Tobacco,1,0.6075251977941132
TGT,2.960380943896838e-18,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2,0.2562734242626199
IRM,0.0,Iron Mountain,Real Estate,Other Specialized REITs,5,0.7308371708980332
TMUS,0.0,T-Mobile US,Communication Services,Wireless Telecommunication Services,7,0.4951035143012142
SW,0.0,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,15,0.1356713241946236
EA,0.0,Electronic Arts,Communication Services,Interactive Home Entertainment,20,0.3630337269751563
HCA,0.0,HCA Healthcare,Health Care,Health Care Facilities,25,0.4697923294082844
