year,equal,inverse_volatility,risk_parity,markowitz_best_sharpe_default,cvar_bootstrap,cvar_montecarlo,benchmark_sp500
2022,-0.015812873173747355,-0.0056227641826375185,-0.02431620246652011,-0.11218485134221767,-0.07616362446628455,-0.09206838240572546,-0.1944282720342928
2023,0.36253479329874416,0.33883487834769754,0.30005764609852337,0.33739625513195537,0.2311923198799084,0.2237833965782665,0.24230500797629828
2024,0.3439104261814261,0.33857552823305825,0.3132345033753998,0.4317298906528779,0.26523018826525546,0.20194699745388855,0.23309002343423724
2025,0.29566845943384124,0.27052949227414835,0.27013841178599174,0.25393721585910334,0.25958710282666075,0.22327974326214983,0.16387806380067538
2026,0.21892460853568263,0.17815835291037851,0.17430688713851472,0.29532967883052064,0.12688598351913116,0.09787396374195989,0.06046456157329638
