ticker_1,ticker_2,distance
SNDK,MU,0.8819651044307247
GEV,VRT,0.8409869035843206
GEV,FIX,0.8506601637839092
GEV,VST,0.9527114501161602
SOLV,COO,1.0278723005833599
SOLV,SW,1.1810697382635327
VLTO,CTAS,0.9927743551087441
KVUE,KMB,1.0103383049055927
GEHC,A,0.9950534780371404
CEG,VST,0.8307711230187175
HOOD,COIN,0.803119984745305
HOOD,XYZ,0.8850611096820061
HOOD,PLTR,0.920215245025921
HOOD,MRNA,1.1349102138777487
APP,PLTR,0.9140624789031392
EXE,EQT,0.7130104807589612
ABNB,EXPE,0.9381221995925578
DASH,UBER,0.9477382361886905
DASH,PLTR,0.9575435019010414
PLTR,AXON,0.9814675316213526
PLTR,TSLA,1.0136578406261183
CARR,TT,0.8009897898206192
CARR,LII,0.826385582701441
OTIS,ITW,0.8820120715716399
DDOG,CRWD,0.8238956552995137
DDOG,NOW,0.8692237525626866
CTVA,MOS,0.9581153882943166
CTVA,DD,0.9634741208421007
DOW,LYB,0.5293271480930846
DOW,DD,0.8252117868394842
FOX,FOXA,0.17769585020304252
FOX,WBD,0.9217146394020352
FOX,NWSA,0.9679599560558494
FISV,GPN,0.818570828937061
NVDA,AMD,0.7745858980273785
NVDA,MPWR,0.8096488824067746
NVDA,SNPS,0.8407276477695235
MU,LRCX,0.7247928932953174
MU,WDC,0.7500249729523273
MSFT,SNPS,0.8114098852393145
MSFT,ADBE,0.8162103700274258
MSFT,AMZN,0.819276999150438
MSFT,GOOGL,0.824408018996859
MSFT,AAPL,0.8735859802917125
MSFT,ORCL,0.9634012665606473
AMZN,META,0.8649363466776616
AMZN,NFLX,0.9620682760681881
GOOGL,GOOG,0.11097613947333888
AVGO,KLAC,0.7773610822154056
AVGO,ANET,0.8789846970940275
INTC,TXN,0.8824408912483466
LITE,COHR,0.7834486140842527
LITE,CIEN,0.8931305973087624
XOM,CVX,0.5362031914821895
LLY,MRK,1.0698307406188423
JPM,BAC,0.5662705485164368
WMT,COST,0.9051989876158425
WMT,KR,1.1104561993124866
WDC,STX,0.7068636986854182
UNH,ELV,0.7620083909061129
UNH,HUM,0.829358353161446
CRM,NOW,0.7590405817691631
AMAT,LRCX,0.434718214219229
AMAT,KLAC,0.4761349661434564
AMAT,TER,0.625281979714954
V,MA,0.5123735519946867
CVX,COP,0.6201700356861083
CVX,PSX,0.7589701708791732
LRCX,SMCI,1.0266747266276202
NOW,ADBE,0.7732932873935583
NOW,WDAY,0.7887155905521491
NOW,ADSK,0.8046924094585958
NOW,FTNT,0.8691624373070661
NOW,TYL,0.8814833399897088
NOW,GDDY,0.9468741022197449
NOW,FICO,0.9480418277696188
NOW,TTWO,1.0381266036708232
BRK-B,L,0.7605336484290681
BAC,C,0.5831140199146989
BAC,FITB,0.6064855709060544
BAC,WFC,0.6075818106041658
BAC,STT,0.6997576702297424
GS,MS,0.5516716345750713
CAT,EMR,0.742585630852378
CAT,CMI,0.764989851444252
CAT,DE,0.7992343912457162
CAT,FCX,0.8871627534577688
CAT,NUE,0.9156480826412919
COHR,MPWR,0.8642429092895815
JNJ,AMGN,0.9946808841787974
JNJ,PEP,1.003848607436567
QCOM,SWKS,0.7401637754809551
COST,CTAS,1.0182226883129113
CSCO,FFIV,0.9143092502542542
BKNG,EXPE,0.7886732231188516
MA,GPN,0.8325913778378004
MA,MCO,0.8912885370654002
GE,HWM,0.8806788364136253
GLW,TEL,0.824385188242892
PANW,FTNT,0.8393040220369917
C,MS,0.6670580718809357
INTU,ADBE,0.7909597703793929
TXN,ADI,0.5549915195534912
PG,CL,0.7187432310161121
PG,KMB,0.7949988879870441
PG,CHD,0.8184194666209965
PG,PEP,0.8454894700409485
IBM,ACN,0.9878638366912709
ABBV,AMGN,0.9967459298341743
ABBV,BMY,1.0012954006405406
KLAC,MPWR,0.6964278112817313
ADBE,CMG,1.0144147845173348
BA,HWM,0.9411446860966025
ACN,CTSH,0.8129171707454026
ACN,PAYX,0.8703732563377008
ACN,IT,0.8813422616642981
ACN,EPAM,0.8914903105319969
ACN,AKAM,1.002645207296698
VZ,T,0.8175053683080842
VZ,DUK,1.033144335410958
VZ,TMUS,1.0847072433866158
HD,LOW,0.5689008827143476
HD,POOL,0.9093300836615861
HD,TSCO,0.968101845471537
DELL,HPE,0.8781480326920026
ADI,MCHP,0.5575762856714002
ADI,MPWR,0.6952544341859139
KO,PEP,0.7880596539193763
KO,DUK,0.9587249742091039
KO,PM,1.010332084675687
LIN,APD,0.8182293141640415
LIN,ECL,0.9104749412172557
MRK,BMY,1.0104019022232646
APH,TEL,0.6846404323044131
APH,ETN,0.8171152350144439
APH,FFIV,0.9190803079912544
CVNA,XYZ,0.9825384479806506
ABT,SYK,0.9398218052888684
ABT,BDX,0.9575726817236251
AXP,SYF,0.6943328013123516
AXP,MAR,0.8913185614924102
AXP,DIS,0.9472426170754543
COP,EOG,0.580525455738518
BSX,SYK,0.8092559765952928
RTX,GD,0.8474033223314213
TER,KEYS,0.8122746543571153
TER,FSLR,1.0651022984487406
NEM,FCX,1.1293202023720945
SPGI,MCO,0.5393267151748539
SPGI,FDS,0.8721134894666315
SPGI,VRSK,0.8893683781239518
SPGI,CSGP,0.9551196227804822
SCHW,RJF,0.7312318961510029
TMO,DHR,0.6593734553636064
TMO,A,0.7309936377144036
PEP,MDLZ,0.7975395467635408
PEP,KDP,0.9425833000461146
PEP,BF-B,0.954764065774147
PEP,MNST,0.977947563905177
BX,KKR,0.6854731143939525
BX,BLK,0.8471932055472438
PFE,BMY,1.0129249187964502
NKE,LULU,0.937854527791616
NKE,SBUX,0.9768385047367445
NKE,EL,0.9785211649620261
NKE,SWK,0.9825818176109419
MCD,YUM,0.8976297405207251
DIS,CMCSA,1.0102580238019785
LMT,NOC,0.6965877773462216
LMT,GD,0.8589217319387545
COF,SYF,0.5444694888301936
COF,CFG,0.6583972366946411
COF,TPR,0.9402458254740177
OXY,DVN,0.6383579179094562
ETN,PH,0.7121816433991678
ETN,HUBB,0.7172598785457107
ETN,TT,0.7622182917158986
ETN,PWR,0.8181217847199984
AMGN,GILD,0.9847106558520342
AMGN,VRTX,0.9992397221511594
AMGN,BIIB,1.0193364389000261
CMCSA,CHTR,0.8809291548129459
ISRG,SYK,0.8625990556280752
ISRG,EW,0.867956880073783
ISRG,IDXX,0.894883495791178
ISRG,SNPS,0.9007383286849688
ISRG,DXCM,0.9963543299104795
PYPL,XYZ,0.8271527231219471
SLB,HAL,0.5592496309214599
HON,ITW,0.8234902807175651
SNPS,CDNS,0.5261227211285671
NEE,LNT,0.8162596672477611
