method,first_return_date,last_return_date,observations,years,final_value,total_return,cagr,annualized_arithmetic_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,positive_day_rate,total_turnover,average_turnover_per_rebalance,total_transaction_cost_value,total_transaction_cost_rate
equal,2022-01-03,2026-05-01,1086,4.323066392881588,1.638123023850566,0.638123023850566,0.1209391940701654,0.12789322165885855,0.1634101367529257,0.534255114312967,0.7758166383245702,-0.23322811036469326,0.5185446723426934,0.5267034990791897,28.951855017298254,0.5462614154207218,0.03337110273231993,0.028951855017298255
inverse_volatility,2022-01-03,2026-05-01,1086,4.323066392881588,1.676896362118896,0.6768963621188959,0.12702142156205265,0.13075287667126065,0.14675014229360223,0.6143936550524539,0.870200291213793,-0.21776431037007327,0.5832977008316458,0.5414364640883977,29.459934662325388,0.5558478238174601,0.03463492511329938,0.02945993466232539
risk_parity,2022-01-03,2026-05-01,1086,4.323066392881588,1.6337120335172661,0.6337120335172661,0.1202402705065091,0.12449252203228262,0.14535313002454203,0.5772287232486125,0.8163518331425046,-0.21679650765180725,0.5546227280543868,0.5395948434622467,27.34424355944162,0.5159291237630494,0.0314319097827735,0.02734424355944162
markowitz_best_sharpe_default,2022-01-03,2026-05-01,1086,4.323066392881588,1.534100853405436,0.5341008534054359,0.10405630704165847,0.11783588713534668,0.19250340402830138,0.40126753683775684,0.5757518899726909,-0.3050143189308445,0.3411522036290074,0.5267034990791897,30.613321573575856,0.5776098410108652,0.032428612919220626,0.03061332157357586
cvar_bootstrap,2022-01-03,2026-05-01,1086,4.323066392881588,1.6720810748811785,0.6720810748811785,0.1262719828888308,0.12900512825972948,0.1390771440473625,0.635723493585642,0.8690784117642989,-0.20641916559416962,0.6117260600553333,0.5543278084714549,34.89158847724776,0.6583318580612785,0.04200311100634392,0.034891588477247756
cvar_montecarlo,2022-01-03,2026-05-01,1086,4.323066392881588,1.5024795987169752,0.5024795987169752,0.09874998543597102,0.1037545352844158,0.1360200353536537,0.46437287530592053,0.6371224253473723,-0.23670234300524007,0.4171905701574949,0.5395948434622467,32.20047209537155,0.6075560772711613,0.0358325942516704,0.03220047209537155
benchmark_sp500,2022-01-03,2026-05-01,1086,4.323066392881588,1.5231086296606622,0.5231086296606622,0.10222133103121989,0.11302014201690151,0.17551169891389032,0.41267688762109433,0.5711933930292142,-0.2542509661923039,0.40204893834662675,0.5313075506445673,0.0,0.0,0.0,0.0
